rank,name,rule_type,expression,matched,profit_count,loss_count,win_rate,lift_vs_baseline,avg_roi,avg_pnl_sol,median_holding_seconds,avg_max_runup,avg_max_drawdown,avg_exit_efficiency
137,pre_20m_return >= -0.50,entry_filter,pre_20m_return >= -0.5000,54,29,25,0.537037037,0.037037037,0.074513833,0.044533169,47,0.404150135,-0.277695582,0.820068794
138,pre_5m_return >= -0.25 AND volume >= 1.00x,entry_filter_combo,pre_5m_return >= -0.2500 AND pre_5m_volume_spike >= 1.0000,28,15,13,0.535714286,0.035714286,0.072347464,0.033576076,57,0.417836004,-0.346681096,0.829636299
139,pre_5m_volume_spike >= 1.00,entry_filter,pre_5m_volume_spike >= 1.0000,32,16,16,0.500000000,0.000000000,0.039202813,0.017000596,47,0.569230630,-0.304017589,0.778727608
140,pre_5m_return >= -0.50 AND volume >= 1.00x,entry_filter_combo,pre_5m_return >= -0.5000 AND pre_5m_volume_spike >= 1.0000,30,15,15,0.500000000,0.000000000,0.051918833,0.023354153,47,0.443984704,-0.324285428,0.811305504
141,pre_5m_return >= 0.00 AND volume >= 3.00x AND range >= 0.65,entry_filter_combo,pre_5m_return >= 0.0000 AND pre_5m_volume_spike >= 3.0000 AND entry_range_position >= 0.6500,10,5,5,0.500000000,0.000000000,0.218305800,0.099645784,74,0.407539341,-0.431994009,0.913790157
142,volume >= 5.00x AND range >= 0.65,entry_filter_combo,pre_5m_volume_spike >= 5.0000 AND entry_range_position >= 0.6500,8,4,4,0.500000000,0.000000000,0.252176875,0.114308006,74,0.480855721,-0.475165033,0.917037467
143,pre_5m_return >= 0.00 AND volume >= 5.00x AND range >= 0.65,entry_filter_combo,pre_5m_return >= 0.0000 AND pre_5m_volume_spike >= 5.0000 AND entry_range_position >= 0.6500,8,4,4,0.500000000,0.000000000,0.252176875,0.114308006,74,0.480855721,-0.475165033,0.917037467
144,entry_label == unclear_entry,entry_label,entry_label == unclear_entry,34,12,22,0.352941176,-0.147058824,-0.012702618,0.015306874,26,0.536659075,-0.290084752,0.705347832
145,entry_range_position <= 0.50,entry_filter,entry_range_position <= 0.5000,35,12,23,0.342857143,-0.157142857,-0.107567857,-0.046500852,22,0.772417540,-0.194618586,0.631041155
146,entry_range_position <= 0.25,entry_filter,entry_range_position <= 0.2500,14,4,10,0.285714286,-0.214285714,-0.105617214,-0.049914819,20,1.004067954,-0.075734143,0.578647640
147,entry_range_position <= 0.35,entry_filter,entry_range_position <= 0.3500,25,7,18,0.280000000,-0.220000000,-0.127179480,-0.055883204,22,0.889670505,-0.157701600,0.602577940
