wallet,mint,sample_group,first_buy_tx,first_buy_time,last_sell_time,realized_pnl_sol,realized_roi,holding_seconds,kline_file,exclude_reason
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,3H3kqqdFWLiJ39FP2u1P7Nw3tsTyCMrB4AX5XRX74YWc,loss,4r2XRXz8SQh1wmcBkCm15u7ib5ykMBBY6CwWoHx1J1XpJ9Q3wcaVDwKBBjoY7yjD6b8c2itDtjoosod6UbWTBxqa,2026-04-29T03:10:03+00:00,2026-04-29T03:12:36+00:00,-0.196448795,-0.193030,153,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/3H3kqqdFWLiJ39FP2u1P7Nw3tsTyCMrB4AX5XRX74YWc_1m_1777431003_1777433556.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,82yiAogGB4nr6JqmwPn1fqKGP59Q7DsEqvkn9zxopump,profit,5oKmTiZ6gsRpHb9awpb3NzakMcqbWV6f7VGfu1pf6ZZKQDnwY2GQYCPi4h49stN4wfF6F3mbHbAMbRWCvfRw6v2v,2026-04-29T03:12:10+00:00,2026-04-29T03:12:29+00:00,0.043865924,0.083943,19,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/82yiAogGB4nr6JqmwPn1fqKGP59Q7DsEqvkn9zxopump_1m_1777431130_1777433549.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,2vDVTKZNE96oJfeXeHQ618BGKS9ud493KReqgKXcpump,loss,2xKx4s4LNKs81sQdJj1LXTrNCg6jwYP7Mnxea8Sn9vNf8E4T7HbgL8Yw8n5NKa8YtauXWAbDoVw7CVDCtGNcQzys,2026-04-29T03:14:13+00:00,2026-04-29T03:14:36+00:00,-0.010666891,-0.020428,23,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/2vDVTKZNE96oJfeXeHQ618BGKS9ud493KReqgKXcpump_1m_1777431253_1777433676.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,CPWrXBsW6WgcVXyko8JsVgDRpaSm1xub9s9HGAx8pump,loss,3nMdfSB8DuZWi9RVY5Ra1UqMbVXSswLRHnMpujysW2iTfEFLhEpssmkeSzavr3Xq6214tsWToiDe33zhCfsyWdS4,2026-04-29T03:14:57+00:00,2026-04-29T03:15:07+00:00,-0.028279093,-0.051830,10,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/CPWrXBsW6WgcVXyko8JsVgDRpaSm1xub9s9HGAx8pump_1m_1777431297_1777433707.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,vm9z1CxCjgxxevWk1qfYow9SwBw1McM1UoDt3RJpump,loss,5t4vGatVyST2AuSV8TVNo54BgTzYL5CciQnvMajJ21dReykDw87gAuR1VniVYpfYzHzjvbPWP6fzDX3JV8wCSJCF,2026-04-29T03:16:31+00:00,2026-04-29T03:16:38+00:00,-0.170530686,-0.330188,7,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/vm9z1CxCjgxxevWk1qfYow9SwBw1McM1UoDt3RJpump_1m_1777431391_1777433798.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,DGaWTm2cyRNuwgGpfV1WhFQ4jhpfi6x1HcUNKc8Wpump,loss,65rfpgwyo1L3xohGYdFZ6hLHW56rkRatMgBS7xx25CepuQ8C9DkaSPX6yqMecTxhtK6KJRA4PbwPbMEjRiWqHvb3,2026-04-29T03:27:40+00:00,2026-04-29T03:28:20+00:00,-0.006247649,-0.012500,40,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/DGaWTm2cyRNuwgGpfV1WhFQ4jhpfi6x1HcUNKc8Wpump_1m_1777432060_1777434500.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,524zXrkbMkoDF8tZSy45PwTNb9pNgvwx5VSdk2R4pump,profit,292LdonVJRe8iUaDyXTVZg8jtH9a2kLS5jHY9CTyDzBSi1uYHYiW9PDuX4GsMEmp8TxZv5kZYJQfzGjUwYqWX6YA,2026-04-29T03:27:59+00:00,2026-04-29T03:28:37+00:00,0.506645819,0.980579,38,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/524zXrkbMkoDF8tZSy45PwTNb9pNgvwx5VSdk2R4pump_1m_1777432079_1777434517.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,eqqewyvQimbTq83juJwT6Gt6FzAqnoikGB9kw4hpump,loss,4iG2Nxt9kcTV9w4uYwp8isDZJcKLNAphoRzAYmZgQQGNCTHwu98juukF6gH5iiuPxmPKobdf6B4Hcse3dBoVnt96,2026-04-29T03:28:35+00:00,2026-04-29T03:30:54+00:00,-0.237017390,-0.155133,139,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/eqqewyvQimbTq83juJwT6Gt6FzAqnoikGB9kw4hpump_1m_1777432115_1777434654.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,8TwGaAgqQ9ovYfNwBGBLJbnYqRKmBEQiLNHRBSeTpump,profit,4MFgYbcTCJ5TdiJTWi3mNvgdRy5iXX1cpHqF39rqDWepZBsoq5rqBsrYFdHEzTdEAMbhbKb6dfiXjVmPTmWT6vPH,2026-04-29T03:31:00+00:00,2026-04-29T03:33:23+00:00,0.052515755,0.047146,143,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/8TwGaAgqQ9ovYfNwBGBLJbnYqRKmBEQiLNHRBSeTpump_1m_1777432260_1777434803.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,14hDBCzrLQJa7kLfmaJoahVNxMG8asYHrUga9jrdpump,loss,5w7EfcY362MPxp4r7YxqxwAF9fZ4iP738eXUWjwvp4WxvT1ufnwg8DePRSCwMhP3u3W4CSYN8KiPbMBqzgCrYZLq,2026-04-29T03:35:23+00:00,2026-04-29T03:35:49+00:00,-0.056576104,-0.113237,26,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/14hDBCzrLQJa7kLfmaJoahVNxMG8asYHrUga9jrdpump_1m_1777432523_1777434949.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,GwJAwXGGU8oB4ZDqksCe6wQPdNyX2j5xZDXv9qq5pump,loss,1W9QtoCE4Muszpz7B6rCfNKBYbHCPzyFcyRhwGZ6nAvSTT1MUb7fKE9t7oDpioAiYeJWrSSauTykc8HyvxWCz4i,2026-04-29T03:37:39+00:00,2026-04-29T03:38:00+00:00,-0.002718544,-0.005437,21,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/GwJAwXGGU8oB4ZDqksCe6wQPdNyX2j5xZDXv9qq5pump_1m_1777432659_1777435080.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,4tvpDeku9ErHjwa51yAobJH7sVmMuXUChYcnMG1Bpump,profit,3F9TzrBqw9S7A3NmABTtWTjLRL498D3hq6g9SwCasTAnjyAxPHX1JDN6GbPogFfhhs7PxVPMpvwc9h4kmExSiHUN,2026-04-29T03:43:22+00:00,2026-04-29T03:44:09+00:00,0.017610669,0.017618,47,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/4tvpDeku9ErHjwa51yAobJH7sVmMuXUChYcnMG1Bpump_1m_1777433002_1777435449.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,Cw1Bi3VRZtUuHkKqFhgiT5mPduLX6YS6mEaz2hrBpump,loss,4mUjR6oX96mTwwusWbNBR64HerpETmX5tNrZ9cJJj9LUpmv2jvL2sBGmmf4SExuh18h9Wcy9JzE7iw6osVYeUDij,2026-04-29T03:47:45+00:00,2026-04-29T03:48:30+00:00,-0.001255558,-0.002511,45,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/Cw1Bi3VRZtUuHkKqFhgiT5mPduLX6YS6mEaz2hrBpump_1m_1777433265_1777435710.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,JEGXcUidPy51rP15JPzdqpLLYJz72qB736rAH59Mpump,loss,2oj331EaYeSqJCAXpJmA7mpWtcuBZ5FfoA6vcdwoGpXhKbWjnSZCV42ZRcEABmNNxdqYk8R7gY7KHvGgYKhnTukK,2026-04-29T03:50:14+00:00,2026-04-29T03:50:26+00:00,-0.176495033,-0.340270,12,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/JEGXcUidPy51rP15JPzdqpLLYJz72qB736rAH59Mpump_1m_1777433414_1777435826.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,81n9oxHutLoQkRvjdn83aaofk8NR7dFVLxcCoDD2pump,loss,3peDsnnXb6TyM76it6EMsyzjjhpkpmhqHztizYtKtGPvNrzAd3SHKzEERQzbtPPXoTTjGs6odsXT9bncGRXp6FEh,2026-04-29T03:56:51+00:00,2026-04-29T04:00:15+00:00,-0.036165130,-0.035721,204,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/81n9oxHutLoQkRvjdn83aaofk8NR7dFVLxcCoDD2pump_1m_1777433811_1777436415.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,FkkPfxF9yiJKZ1u6VAFDgK7Tn9gxm6V1kMtU8BZipump,loss,5PXfwcBZnypkvC9WHPEa13CC5Ax9UHasmSJT95NdrHcq6HzaTPVMdMfhx61RQQ87qRY9gX7onYNafYnBFLq937xo,2026-04-29T03:57:18+00:00,2026-04-29T03:57:40+00:00,-0.068974855,-0.137976,22,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/FkkPfxF9yiJKZ1u6VAFDgK7Tn9gxm6V1kMtU8BZipump_1m_1777433838_1777436260.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,Gj2wMDacswzYG43CgpwCcWRihPhGsLQJf5F11hhvpump,profit,25T89HF9RDTxPLQx83SwhDrbUkFWKQ13Hr4YV76vXecraSHZy53VvHrQcYXjnmPvwyG43y9bswpY1HFcBY9GG7cz,2026-04-29T03:57:42+00:00,2026-04-29T03:59:11+00:00,0.123325817,0.246679,89,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/Gj2wMDacswzYG43CgpwCcWRihPhGsLQJf5F11hhvpump_1m_1777433862_1777436351.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,DxEjXMRWihmQLztaKDGRSgr1EjH4zkvvPxnoe2Z6pump,profit,2ECxDjZaAiqo3akmeuCXAK6KcTLbsbi43oZBYWS9xNkbexyCaug9ehwweZzKdCAKDKMyUiaj98PvbZDFda1NXWWV,2026-04-29T04:00:57+00:00,2026-04-29T04:02:18+00:00,0.301767631,0.292417,81,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/DxEjXMRWihmQLztaKDGRSgr1EjH4zkvvPxnoe2Z6pump_1m_1777434057_1777436538.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,75X3YgCpLaEqMTz5TabNX4Mo51mZctaxa8aRbUedpump,loss,3cHNWXuHemHRsb4Qwft5DCtvcE8GHbAJZHW3ZhegNinUrP6Md8sMuGYhqdwetJJoUiyPY1kiWx1dWiHHFhiTzNJM,2026-04-29T04:17:14+00:00,2026-04-29T04:17:29+00:00,-0.021591778,-0.219401,15,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/75X3YgCpLaEqMTz5TabNX4Mo51mZctaxa8aRbUedpump_1m_1777435034_1777437449.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,2uRdYXZcC6WrsL55aNN3Y22wrT6kHYb3QE3J75F4pump,profit,4xaZ26TKBr6rZR57NigRi87qCiJFVvwjD36aZGHF497gqeYQXxixydpGUvihPeiircMh2DDYavWdkLS5MXq6LB92,2026-04-29T04:18:20+00:00,2026-04-29T04:24:09+00:00,0.218783959,0.111290,349,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/2uRdYXZcC6WrsL55aNN3Y22wrT6kHYb3QE3J75F4pump_1m_1777435100_1777437849.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,6pg9DtWC5zC6ueMFb5GGgeNvBHBgh1oEFidwgvLhpump,profit,4E8dYCQu9WqhNPpoyq2KUrH9vT4TszDSBsEGZk98uAXz8N28LGccL8Q4ssjo1Zp7J54YNpz8NVcEwzBzF5TwiXDE,2026-04-29T04:26:58+00:00,2026-04-29T04:28:00+00:00,0.042968589,0.078462,62,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/6pg9DtWC5zC6ueMFb5GGgeNvBHBgh1oEFidwgvLhpump_1m_1777435618_1777438080.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,FML9ApgKaSCqbC3XUqTdLaTtdGm1BcJWatN7xmBbpump,profit,ScqbUXHKfmHnMnEbyKUcU9UZeBxZqkeF4rDbg7whcycNDroLAbPwoa36SwHwsFhnga5grf9NVEyYJQY3x7hNfBg,2026-04-29T04:33:55+00:00,2026-04-29T04:34:57+00:00,0.023628618,0.044000,62,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/FML9ApgKaSCqbC3XUqTdLaTtdGm1BcJWatN7xmBbpump_1m_1777436035_1777438497.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,BBZbQQFu8kkw1rhDVzjkyMXsEvc2JLBZiJeShoNapump,profit,5F69UWEpp1AeB42shvQojUqNFExJSb62vuWk9enFQYmT33tQszvhErAMoifxDPBBQBdkJRCBL1KZc4nZaqW77mDq,2026-04-29T04:37:56+00:00,2026-04-29T04:38:11+00:00,0.103273451,0.191636,15,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/BBZbQQFu8kkw1rhDVzjkyMXsEvc2JLBZiJeShoNapump_1m_1777436276_1777438691.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,27sFia5GZfmt44iiDAym8Y2TL2duTewvYAjkLavhpump,profit,yL6ad3nwtoyeEGFXYMBrf9QhpVQnaFRZjoWnJPrhqgtZS1zWiYQv5Zb4uKxPnMHuH5feMvPoXgJfcwPR1ZJwv1U,2026-04-29T04:39:00+00:00,2026-04-29T04:40:53+00:00,0.209533617,0.209587,113,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/27sFia5GZfmt44iiDAym8Y2TL2duTewvYAjkLavhpump_1m_1777436340_1777438853.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,6EYMLZo38gUSnujkokp6KPWQkWoftRKksL7dRc3yMTNG,loss,4wZDSboaAdMztKF8FAQm516i21rgibQVBSdXgimrQbUxV3zE5GJ2KyT9iVuD4qaJdq7HYNoHHBJiFq4WseghkQz4,2026-04-29T05:01:08+00:00,2026-04-29T05:01:55+00:00,-0.038272735,-0.076545,47,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/6EYMLZo38gUSnujkokp6KPWQkWoftRKksL7dRc3yMTNG_1m_1777437668_1777440115.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,H64ap4deX9piTa1kbt6ihjck3KjuHve3MivMrsadpump,loss,5xGQgNfSSTJM6Z93aLziYgjVk1HDGaCXv9aL6uTg37XQDB4EhHhLiSkt7y2wkjqgKQuEq8b9tj4MjiM2hYQZCVB3,2026-04-29T05:03:31+00:00,2026-04-29T05:04:05+00:00,-0.182482537,-0.361764,34,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/H64ap4deX9piTa1kbt6ihjck3KjuHve3MivMrsadpump_1m_1777437811_1777440245.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,HbUWXrTVCLY8sTydzW6gLu9q2UUCpe77yjni4eZPpump,loss,2vP3QHoBGdPG3exXEMpYGgsJi4xtbEtGgh2vKJaMKvgrBbz9kDoWsJyy8ZsACShUmakmPSUWi1BwPqZRxq2Rwimw,2026-04-29T05:08:49+00:00,2026-04-29T05:09:03+00:00,-0.011311457,-0.022655,14,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/HbUWXrTVCLY8sTydzW6gLu9q2UUCpe77yjni4eZPpump_1m_1777438129_1777440543.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,2Ku7NnBci7sMSLRYV6xpESJFYmg9FTizpX2wTqXopump,profit,2SCtWTzeMKG3rHBd3DiWgKMA6U5wFUR9XLUduSkipH8k1juJJsjaqEt8PactLYL1eSRQVjGyqV7mQfFDcKoS2Wix,2026-04-29T05:09:30+00:00,2026-04-29T05:09:45+00:00,0.006475550,0.012954,15,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/2Ku7NnBci7sMSLRYV6xpESJFYmg9FTizpX2wTqXopump_1m_1777438170_1777440585.json,
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,etxt2AosDxDR5kaKQn4GZoxwWgVXa9CBzUT5fAZpump,loss,4KfJrhqe4LE7vpiT4ByMaPaPZgq9dvpwzwftoXes5t2DHJfzkXEfenJKUH5vVvK1m4Y21DAS821FzxehjysucX9C,2026-04-29T05:12:08+00:00,2026-04-29T05:12:42+00:00,-0.073552630,-0.147105,34,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/etxt2AosDxDR5kaKQn4GZoxwWgVXa9CBzUT5fAZpump_1m_1777438328_1777440762.json,
